qid,question,answer,solution,score
pope_test00000,Is there a snowboard in the image?,"Yes, there is a snowboarder in the image.",yes,1.0
pope_test00001,Is there a backpack in the image?,"No, there does not appear to be a backpack in the image.",no,1.0
pope_test00002,Is there a person in the image?,"Yes, there is a person in the image. The person is wearing a red hat and a dark jacket and is snowboarding down a snowy hill.",yes,1.0
pope_test00003,Is there a car in the image?,"No, there does not appear to be a car in the image.",no,1.0
pope_test00004,Is there a skis in the image?,"Yes, there is a skier in the image.",yes,1.0
pope_test00005,Is there a dog in the image?,"No, there does not appear to be a dog in the image. The image shows a person snowboarding down a snowy hill.",no,1.0
pope_test00006,Is there a truck in the image?,"Yes, there is a truck in the image. It is parked on the street behind the people.",yes,1.0
pope_test00007,Is there a car in the image?,"Yes, there is a car in the image. It is parked on the street behind the people.",no,0.0
pope_test00008,Is there a person in the image?,"Yes, there is a person in the image. The person is holding an umbrella and is standing with a child.",yes,1.0
pope_test00009,Is there a dining table in the image?,"No, there is no dining table visible in the image.",no,1.0
pope_test00010,Is there an umbrella in the imange?,"Yes, there is an umbrella in the image. The umbrella is red and black and is being held by a woman who is standing with a young girl.",yes,1.0
pope_test00011,Is there a handbag in the image?,"No, there does not appear to be a handbag in the image.",no,1.0
pope_test00012,Is there a person in the image?,"Yes, there is a person riding a bicycle in the image.",yes,1.0
pope_test00013,Is there a dining table in the image?,"No, there is no dining table in the image.",no,1.0
pope_test00014,Is there a bicycle in the image?,"Yes, there is a bicycle in the image. The bicycle is being ridden by a person who is riding it through the intersection.",yes,1.0
pope_test00015,Is there a motorcycle in the image?,"Yes, there is a motorcycle in the image. It is being ridden by a person who is wearing a helmet and is riding through the intersection.",no,0.0
pope_test00016,Is there a car in the image?,"Yes, there is a car in the image. It is a white van with a red stripe and the words ""LINEA EXPRESS"" on the side.",yes,1.0
pope_test00017,Is there a truck in the image?,"Yes, there is a truck in the image. The truck is white with a maroon stripe and has the words ""LINEA EXPRESS"" written on it. It is driving down the street.",no,0.0
pope_test00018,Is there a person in the image?,"Yes, there are several people in the image. They are riding on top of a bus.",yes,1.0
pope_test00019,Is there a dining table in the image?,"No, there is no dining table in the image.",no,1.0
pope_test00020,Is there a potted plant in the image?,"Yes, there is a potted plant in the image. The potted plant is located on the sidewalk to the left of the bus.",yes,1.0
pope_test00021,Is there a vase in the image?,"No, there is no vase in the image.",no,1.0
pope_test00022,Is there a car in the image?,"No, there is a bus in the image.",yes,0.0
pope_test00023,Is there a truck in the image?,"No, there is a bus in the image.",no,1.0
pope_test00024,Is there a traffic light in the image?,"Yes, there is a traffic light in the image. It is located on the right side of the image, and it is red.",yes,1.0
pope_test00025,Is there a bus in the image?,"Yes, there is a bus in the image. The bus is white and has a windshield with a yellow sign on it. The bus is decorated with flowers and has a religious figure on the dashboard.",no,0.0
pope_test00026,Is there a person in the image?,"Yes, there are several people in the image. There are two people in the foreground, one on the left side of the image and one on the right side of the image. There are also two people in the background, one on the left side of the image and one on the right side of the image.",yes,1.0
pope_test00027,Is there a dining table in the image?,"No, there is no dining table in the image.",no,1.0
pope_test00028,Is there a car in the image?,"Yes, there is a car in the image. The car is white and appears to be a taxi, as indicated by the yellow sign on the dashboard that reads ""TAXI"" in English and another language.",yes,1.0
pope_test00029,Is there a truck in the image?,"Yes, there is a truck in the image. The truck is white and has a dashboard decorated with flowers and a small statue of a Hindu deity.",no,0.0
pope_test00030,Is there a dog in the image?,"Yes, there is a small white dog in the image.",yes,1.0
pope_test00031,Is there a person in the image?,"No, there does not appear to be a person in the image. There is a small white dog and a magazine, but no people.",no,1.0
pope_test00032,Is there a dining table in the image?,"Yes, there is a dining table in the image. The table is made of granite and has a newspaper on it.",yes,1.0
pope_test00033,Is there a chair in the image?,"Yes, there appears to be a chair behind the dog. It is covered with a dark-colored fabric.",no,0.0
pope_test00034,Is there a bed in the image?,"Yes, there appears to be a bed behind the dog. It is covered with a dark-colored blanket or comforter.",yes,1.0
pope_test00035,Is there a book in the image?,"Yes, there is a book in the image. The book is open and has the word ""INTELLIGENT"" printed on it.",no,0.0
pope_test00036,Is there a person in the image?,"Yes, there is a person in the image. The person is eating a chocolate-covered pastry.",yes,1.0
pope_test00037,Is there a car in the image?,"Yes, there is a car in the image. It is visible through the window behind the man.",no,0.0
pope_test00038,Is there a spoon in the image?,"Yes, there is a spoon in the image. The man is holding a spoon in his right hand.",yes,1.0
pope_test00039,Is there a cup in the image?,"Yes, there is a cup in the image. It is located on the desk behind the man.",no,0.0
pope_test00040,Is there a fork in the image?,"Yes, there is a fork in the image. The man is holding a fork in his right hand.",yes,1.0
pope_test00041,Is there a dining table in the image?,"Yes, there is a dining table in the image. The man is sitting at the table and eating a chocolate-covered pastry.",no,0.0
pope_test00042,Is there a tv in the image?,"No, there is no television in the image.",yes,0.0
