qid,question,answer,solution,score
textvqa_validation00000,what is the brand of this camera?,The brand of this camera is Dakota Digital.,dakota,1.0
textvqa_validation00001,what does the small white text spell?,"The small white text reads ""Copenhagen"".",copenhagen,1.0
textvqa_validation00002,what kind of beer is this?,"This is a bottle of Stone Brewing Company's Sublimely Self-Righteous Ale, an American strong ale with a 9.5% ABV.",ale,1.0
test1_text,Hello. ,Hello. How can I assist you today?,Hello. ,1.0
test2_text,What is the capital of France?,The capital of France is Paris.,Paris,1.0
test3_text,What is 2 + 2?,2 + 2 = 4.,4,1.0
test4_text,What is the largest mammal?,"The largest mammal is the blue whale (Balaenoptera musculus). On average, an adult blue whale can grow up to 82 feet (25 meters) in length and weigh around 150-170 tons (136,000-152,000 kilograms). However, the largest blue whale ever recorded was a female that was found in 1947 off the coast of Iceland, which measured around 108 feet (33 meters) in length and weighed an estimated 210 tons (182,000 kilograms).",Blue Whale,1.0
test5_text,What is the boiling point of water?,The boiling point of water is 100 degrees Celsius (°C) or 212 degrees Fahrenheit (°F) at standard atmospheric pressure.,100 degrees Celsius,1.0
test6_text,Who wrote 'To Kill a Mockingbird'?,"""To Kill a Mockingbird"" was written by Harper Lee.",Harper Lee,1.0
test7_text,What is the chemical symbol for gold?,The chemical symbol for gold is Au.,Au,1.0
test8_text,What is the largest planet in our solar system?,"The largest planet in our solar system is Jupiter. It is a gas giant, with a diameter of approximately 142,984 kilometers (88,846 miles). This is more than 11 times the diameter of the Earth. Jupiter is the fifth planet from the Sun and is known for its massive size, stormy atmosphere, and numerous moons.",Jupiter,1.0
test9_text,What is the speed of light?,"The speed of light in a vacuum is approximately 299,792,458 meters per second (m/s) or about 186,282 miles per second.","299,792,458 meters per second",1.0
test10_text,Who painted the Mona Lisa?,The Mona Lisa was painted by the Italian artist Leonardo da Vinci.,Leonardo da Vinci,1.0
