qid,question,answer,solution,score
mmbench_dev00000,"Question: Identify the question that Madelyn and Tucker's experiment can best answer.
Options:
A. Does Madelyn's snowboard slide down a hill in less time when it has a thin layer of wax or a thick layer of wax?
B. Does Madelyn's snowboard slide down a hill in less time when it has a layer of wax or when it does not have a layer of wax?Answer the question, only output the letter of your option: ",A,B,0.0
mmbench_dev00001,"Question: Which of the following could Laura and Isabella's test show?
Options:
A. if the concrete from each batch took the same amount of time to dry
B. if a new batch of concrete was firm enough to useAnswer the question, only output the letter of your option: ",A,B,0.0
mmbench_dev00002,"Question: Which of the following was a dependent variable in this experiment?
Options:
A. the temperature of the soda
B. the size of the ice piecesAnswer the question, only output the letter of your option: ",A.,A,1.0
mmbench_dev00003,"Question: Which of the following was an independent variable in this experiment?
Options:
A. the distance the footballs traveled
B. the air pressure in the footballsAnswer the question, only output the letter of your option: ",A,B,0.0
mmbench_dev00004,"Question: Which of the following could Devin's test show?
Options:
A. if the weather station would work when the temperature was 50°C
B. how well the weather station would work when it was windyAnswer the question, only output the letter of your option: ",A,A,1.0
mmbench_dev00005,"Question: Identify the question that Carson's experiment can best answer.
Options:
A. Does the type of flour used in the muffins affect the number of muffins that turn brown after 30 minutes in the oven?
B. Do muffins made with white flour have larger volumes than muffins made with whole wheat flour?Answer the question, only output the letter of your option: ",A,B,1.0
mmbench_dev00006,"Question: Which statement describes the Great Victoria Desert ecosystem?
Options:
A. It has thick, moist soil.
B. It has dry, thin soil.Answer the question, only output the letter of your option: ",B,B,1.0
mmbench_dev00007,"Question: Which better describes the tide pool ecosystems in Tongue Point Marine Life Sanctuary?
Options:
A. It has water that is poor in nutrients. It also has only a few types of organisms.
B. It has water that is rich in nutrients. It also has many different types of organisms.Answer the question, only output the letter of your option: ",B,B,1.0
mmbench_dev00008,"Question: Which part of an apple tree might grow into a new tree?
Options:
A. a seed
B. a leafAnswer the question, only output the letter of your option: ",A,A,1.0
mmbench_dev00009,"Question: Which animal's limbs are also adapted for gliding?
Options:
A. northern flying squirrel
B. ring-tailed lemurAnswer the question, only output the letter of your option: ",A.,A,1.0
mmbench_dev00010,"Question: Which fish's mouth is also adapted for tearing through meat?
Options:
A. copperband butterflyfish
B. tiger morayAnswer the question, only output the letter of your option: ",B,B,1.0
mmbench_dev00011,"Question: Which animal's skin is also adapted for survival in cold places?
Options:
A. fantastic leaf-tailed gecko
B. polar bearAnswer the question, only output the letter of your option: ",B,B,1.0
mmbench_dev00012,"Question: Which material is this spatula made of?
Options:
A. rubber
B. cottonAnswer the question, only output the letter of your option: ",A.,A,1.0
mmbench_dev00013,"Question: Which property do these two objects have in common?
Options:
A. yellow
B. saltyAnswer the question, only output the letter of your option: ",A.,B,0.0
mmbench_dev00014,"Question: Complete the statement.
Boron trifluoride is ().
Options:
A. an elementary substance
B. a compoundAnswer the question, only output the letter of your option: ",B,B,1.0
mmbench_dev00015,"Question: Complete the text to describe the diagram.
Solute particles moved in both directions across the permeable membrane. But more solute particles moved across the membrane (). When there was an equal concentration on both sides, the particles reached equilibrium.
Options:
A. to the right than to the left
B. to the left than to the rightAnswer the question, only output the letter of your option: ",A.,A,1.0
mmbench_dev00016,"Question: Complete the text to describe the diagram.
Solute particles moved in both directions across the permeable membrane. But more solute particles moved across the membrane (). When there was an equal concentration on both sides, the particles reached equilibrium.
Options:
A. to the right than to the left
B. to the left than to the rightAnswer the question, only output the letter of your option: ",A.,A,1.0
mmbench_dev00017,"Question: Complete the statement.
Ammonia is ().
Options:
A. an elementary substance
B. a compoundAnswer the question, only output the letter of your option: ",B,B,1.0
mmbench_dev00018,"Question: Which of these places was Southern Colonies?
Options:
A. Pennsylvania
B. MarylandAnswer the question, only output the letter of your option: ",B,B,1.0
mmbench_dev00019,"Question: Based on the timeline, which statement is true?
Options:
A. Americans boycotted British goods before the Revolutionary War began.
B. The Boston Massacre was the first battle of the Revolutionary War.Answer the question, only output the letter of your option: ",A.,A,1.0
mmbench_dev00020,"Question: Is native copper a mineral?
Options:
A. no
B. yesAnswer the question, only output the letter of your option: ",B,B,1.0
mmbench_dev00021,"Question: Is plastic a mineral?
Options:
A. yes
B. noAnswer the question, only output the letter of your option: ",B,B,1.0
mmbench_dev00022,"Question: Is the following statement about our solar system true or false?
The smallest planet is made mainly of rock.
Options:
A. False
B. TrueAnswer the question, only output the letter of your option: ",A.,B,0.0
mmbench_dev00023,"Question: Is the following statement about our solar system true or false?
The volume of Mars is more than three times as large as Mercury's.
Options:
A. True
B. FalseAnswer the question, only output the letter of your option: ",B,B,1.0
mmbench_dev00024,"Question: Does this passage describe the weather or the climate?
Options:
A. weather
B. climateAnswer the question, only output the letter of your option: ",A,A,1.0
mmbench_dev00025,"Question: Which of the following fossils is younger? Select the more likely answer.
Options:
A. ginkgo leaf
B. mammal toothAnswer the question, only output the letter of your option: ",A,B,0.0
mmbench_dev00026,"Question: What do hedgehogs do when they are scared?
Options:
A. They shoot their spines like arrows.
B. They curl up into a ball.Answer the question, only output the letter of your option: ",B,B,1.0
mmbench_dev00027,"Question: What are the fingers of a banana plant?
Options:
A. the bananas
B. the stemsAnswer the question, only output the letter of your option: ",A.,A,1.0
mmbench_dev00028,"Question: Based on the time line, which event happens after James Marshall discovers gold and before gold becomes harder to find?
Options:
A. Many people move to California.
B. Silver is discovered in Nevada.Answer the question, only output the letter of your option: ",B,A,0.0
mmbench_dev00029,"Question: Based on the event chain, which event happens earlier in the legend?
Options:
A. John Henry gets sick.
B. John Henry beats the machine.Answer the question, only output the letter of your option: ",B,B,1.0
mmbench_dev00030,"Question: Based on the table, in which story does the main character travel through time by accident?
Options:
A. in both The Time Machine and A Connecticut Yankee in King Arthur's Court
B. only in A Connecticut Yankee in King Arthur's CourtAnswer the question, only output the letter of your option: ",A,B,0.0
mmbench_dev00031,"Question: Based on the time line, when did people start playing polo?
Options:
A. before surfing
B. before sumo wrestlingAnswer the question, only output the letter of your option: ",A.,B,0.0
mmbench_dev00032,"Question: Based on the table, what did Ruth Handler invent?
Options:
A. the Rubik's Cube
B. the Barbie dollAnswer the question, only output the letter of your option: ",B,B,1.0
mmbench_dev00033,"Question: Based on the event chain, when is Tinker Bell poisoned?
Options:
A. before Captain Hook captures the Lost Boys
B. after the Lost Boys fight the piratesAnswer the question, only output the letter of your option: ",A.,B,0.0
mmbench_dev00034,"Question: Complete the sentence.
The African elephant is the () land animal in the world.
Options:
A. smallest
B. largestAnswer the question, only output the letter of your option: ",A,B,0.0
mmbench_dev00035,"Question: Which trait does this red squirrel have?
Options:
A. It has a bushy tail.
B. It has fins.Answer the question, only output the letter of your option: ",A.,A,1.0
mmbench_dev00036,"Question: Select the time the lunchroom is most likely to flood.
Options:
A. when a river next to the school overflows
B. during a drought, when there is not much rainAnswer the question, only output the letter of your option: ",A.,A,1.0
mmbench_dev00037,"Question: Which term matches the picture?
Options:
A. cocoon
B. chrysalisAnswer the question, only output the letter of your option: ",A.,B,0.0
mmbench_dev00038,"Question: Which term matches the picture?
Options:
A. endotherms
B. ectothermsAnswer the question, only output the letter of your option: ",A.,A,1.0
mmbench_dev00039,"Question: Which term matches the picture?
Options:
A. amplitude
B. wavelengthAnswer the question, only output the letter of your option: ",A.,A,1.0
mmbench_dev00040,"Question: Which term matches the picture?
Options:
A. Hawaiian eruption
B. Strombolian eruptionAnswer the question, only output the letter of your option: ",A.,B,0.0
mmbench_dev00041,"Question: Which term matches the picture?
Options:
A. monocot
B. dicotAnswer the question, only output the letter of your option: ",A.,A,1.0
mmbench_dev00042,"Question: Which term matches the picture?
Options:
A. conduction
B. convectionAnswer the question, only output the letter of your option: ",A.,B,0.0
mmbench_dev00043,"Question: Which term matches the picture?
Options:
A. phloem
B. xylemAnswer the question, only output the letter of your option: ",A.,B,0.0
mmbench_dev00044,"Question: Which term matches the picture?
Options:
A. fracture
B. cleavageAnswer the question, only output the letter of your option: ",A.,B,0.0
mmbench_dev00045,"Question: Which term matches the picture?
Options:
A. convex lens
B. concave lensAnswer the question, only output the letter of your option: ",A.,A,1.0
mmbench_dev00046,"Question: Which term matches the picture?
Options:
A. basket star
B. brittle starAnswer the question, only output the letter of your option: ",A.,A,1.0
mmbench_dev00047,"Question: Which term matches the picture?
Options:
A. prokaryotic cell
B. eukaryotic cellAnswer the question, only output the letter of your option: ",A.,A,1.0
mmbench_dev00048,"Question: Which term matches the picture?
Options:
A. obsidian
B. graniteAnswer the question, only output the letter of your option: ",A.,B,0.0
mmbench_dev00049,"Question: Which term matches the picture?
Options:
A. kinetic energy
B. potential energyAnswer the question, only output the letter of your option: ",A.,B,0.0
mmbench_dev00050,"Question: Which term matches the picture?
Options:
A. echinoderm
B. cnidarianAnswer the question, only output the letter of your option: ",A.,B,0.0
mmbench_dev00051,"Question: Which term matches the picture?
Options:
A. bilateral symmetry
B. radial symmetryAnswer the question, only output the letter of your option: ",A.,B,0.0
mmbench_dev00052,"Question: Two magnets are places as shown. Will these magnets attract or repel each other?
Options:
A. Repel.
B. Attract.Answer the question, only output the letter of your option: ",A,A,1.0
mmbench_dev00053,"Question: Two magnets are placed as shown. Hint: Magnets that attract pull together. Magnets that repel push apart. Will these magnets attract or repel each other?
Options:
A. Repel.
B. Attract.Answer the question, only output the letter of your option: ",A,A,1.0
mmbench_dev00054,"Question: is this place crowded?
Options:
A. yes
B. noAnswer the question, only output the letter of your option: ",A.,A,1.0
mmbench_dev00055,"Question: is this place crowded?
Options:
A. yes
B. noAnswer the question, only output the letter of your option: ",A.,A,1.0
mmbench_dev00056,"Question: is this place crowded?
Options:
A. yes
B. noAnswer the question, only output the letter of your option: ",B,B,1.0
mmbench_dev00057,"Question: is this place crowded?
Options:
A. yes
B. noAnswer the question, only output the letter of your option: ",A.,B,0.0
mmbench_dev00058,"Question: Which image is more brightful?
Options:
A. The first image
B. The second imageAnswer the question, only output the letter of your option: ",A.,A,1.0
mmbench_dev00059,"Question: Which image is more brightful?
Options:
A. The first image
B. The second imageAnswer the question, only output the letter of your option: ",A.,A,1.0
mmbench_dev00060,"Question: Which image is more brightful?
Options:
A. The first image
B. The second imageAnswer the question, only output the letter of your option: ",A,B,0.0
mmbench_dev00061,"Question: Which image is more brightful?
Options:
A. The first image
B. The second imageAnswer the question, only output the letter of your option: ",A.,A,1.0
mmbench_dev00062,"Question: Which image is more brightful?
Options:
A. The first image
B. The second imageAnswer the question, only output the letter of your option: ",A.,B,0.0
mmbench_dev00063,"Question: Which image is more brightful?
Options:
A. The first image
B. The second imageAnswer the question, only output the letter of your option: ",A,B,0.0
mmbench_dev00064,"Question: Which image is more brightful?
Options:
A. The first image
B. The second imageAnswer the question, only output the letter of your option: ",A.,B,0.0
mmbench_dev00065,"Question: Which image is more brightful?
Options:
A. The first image
B. The second imageAnswer the question, only output the letter of your option: ",A,B,0.0
mmbench_dev00066,"Question: Which image is more brightful?
Options:
A. The first image
B. The second imageAnswer the question, only output the letter of your option: ",A.,B,0.0
mmbench_dev00067,"Question: Which image is more brightful?
Options:
A. The first image
B. The second imageAnswer the question, only output the letter of your option: ",A.,A,1.0
mmbench_dev00068,"Question: Which image is more brightful?
Options:
A. The first image
B. The second imageAnswer the question, only output the letter of your option: ",A,A,1.0
mmbench_dev00069,"Question: Which image is more brightful?
Options:
A. The first image
B. The second imageAnswer the question, only output the letter of your option: ",A,A,1.0
mmbench_dev00070,"Question: Which image is more brightful?
Options:
A. The first image
B. The second imageAnswer the question, only output the letter of your option: ",A.,A,1.0
mmbench_dev00071,"Question: Which image is more brightful?
Options:
A. The first image
B. The second imageAnswer the question, only output the letter of your option: ",A.,A,1.0
mmbench_dev00072,"Question: Which image is more brightful?
Options:
A. The first image
B. The second imageAnswer the question, only output the letter of your option: ",A.,A,1.0
mmbench_dev00073,"Question: Which image is more brightful?
Options:
A. The first image
B. The second imageAnswer the question, only output the letter of your option: ",A.,A,1.0
mmbench_dev00074,"Question: Which image is more brightful?
Options:
A. The first image
B. The second imageAnswer the question, only output the letter of your option: ",A.,B,0.0
mmbench_dev00075,"Question: Which image is more brightful?
Options:
A. The first image
B. The second imageAnswer the question, only output the letter of your option: ",A.,A,1.0
mmbench_dev00076,"Question: Which image is more brightful?
Options:
A. The first image
B. The second imageAnswer the question, only output the letter of your option: ",A.,A,1.0
mmbench_dev00077,"Question: which image is more colorful?
Options:
A. The first image
B. The second imageAnswer the question, only output the letter of your option: ",A.,A,1.0
mmbench_dev00078,"Question: which image is more colorful?
Options:
A. The first image
B. The second imageAnswer the question, only output the letter of your option: ",A.,A,1.0
mmbench_dev00079,"Question: which image is more colorful?
Options:
A. The first image
B. The second imageAnswer the question, only output the letter of your option: ",A.,B,0.0
mmbench_dev00080,"Question: which image is more colorful?
Options:
A. The first image
B. The second imageAnswer the question, only output the letter of your option: ",A.,B,0.0
mmbench_dev00081,"Question: which image is more colorful?
Options:
A. The first image
B. The second imageAnswer the question, only output the letter of your option: ",A,B,0.0
mmbench_dev00082,"Question: which image is more colorful?
Options:
A. The first image
B. The second imageAnswer the question, only output the letter of your option: ",A.,A,1.0
mmbench_dev00083,"Question: which image is more colorful?
Options:
A. The first image
B. The second imageAnswer the question, only output the letter of your option: ",A.,B,0.0
mmbench_dev00084,"Question: which image is more colorful?
Options:
A. The first image
B. The second imageAnswer the question, only output the letter of your option: ",A.,A,1.0
mmbench_dev00085,"Question: which image is more colorful?
Options:
A. The first image
B. The second imageAnswer the question, only output the letter of your option: ",A.,A,1.0
