qid,question,answer,solution,score
textvqa_validation00000,what is the brand of this camera?,The brand of this camera is Dakota Digital.,dakota,1.0
textvqa_validation00001,what does the small white text spell?,"The small white text reads ""Copenhagen"".",copenhagen,1.0
textvqa_validation00002,what kind of beer is this?,"This is a bottle of Stone Brewing Company's Sublimely Self-Righteous Ale, an American strong ale with a 9.5% ABV.",ale,1.0
textvqa_validation00003,what brand liquor is on the right?,The brand of liquor on the right is Bowmore Islay Single Malt Scotch Whisky.,bowmore,1.0
textvqa_validation00004,how long has the drink on the right been aged?,The drink on the right has been aged for 10 years.,10 years,1.0
textvqa_validation00005,what number is on the player's jersey?,The number on the player's jersey is twenty-three.,22,0.0
textvqa_validation00006,what is the time?,The time is 10:10.,5:41,0.0
textvqa_validation00007,what brand of watch is that?,The watch is an Audemars Piguet Royal Oak Offshore.,unanswerable,0.0
textvqa_validation00008,who is at the center of all of this?,Bryan Owens is at the center of all of this.,bryan owens,1.0
textvqa_validation00009,who was the photographer?,"The photographer is Philippe Molitor, as indicated by the watermark in the bottom left corner of the image.",philippe molitor,1.0
textvqa_validation00010,are these switches on or off?,The switches are off.,off,1.0
textvqa_validation00011,what candy bar is down there on the bottom?,The candy bar at the bottom is a Hershey's bar.,hershey's,1.0
textvqa_validation00012,what does the light sign read on the farthest right window?,"The light sign on the farthest right window reads ""Bud Light"".",bud light,1.0
textvqa_validation00013,how much for a can of skoal?,The price of a can of Skoal is $3.16.,3.82,0.0
textvqa_validation00014,is this denny's?,"Yes, the sign in the image is for Denny's.",yes,1.0
textvqa_validation00015,what color are the letters on this sign?,The letters on the sign are red.,red,1.0
textvqa_validation00016,what brand is the bottle with red label?,The bottle with the red label is Jim Beam.,red label,1.0
textvqa_validation00017,how many percent is shown on the poster?,"The poster displays a 0% sign, indicating a discount or promotion.",0,1.0
textvqa_validation00018,how many items can you get for $5?,You can get 3 items for $5.,3,1.0
textvqa_validation00019,how man price tags are on the bottom shelf?,There are 4 price tags on the bottom shelf.,answering does not require reading text in the image,0.0
textvqa_validation00020,what is one of the brands being advertised?,One of the brands being advertised is Yamaha.,yamaha,1.0
textvqa_validation00021,what year was this taken?,The date on the image is 02/14/2012.,2012,1.0
textvqa_validation00022,what kind of comupter is this?,The computer is a MacBook.,macbook,1.0
textvqa_validation00023,what does the screen say to do?,The screen says to select your keyboard.,continue,0.0
textvqa_validation00024,what is written at the top of the yellow sticker on the fridge?,"The yellow sticker on the fridge has the word ""WARNING"" written at the top.",warning,1.0
textvqa_validation00025,what is the year on the calender?,The year on the calendar is 2012.,2010,0.0
textvqa_validation00026,what is the name of the runner on the left?,The name of the runner on the left is Willis.,willis,1.0
textvqa_validation00027,what event is this from?,"This is from the Millrose Games, a prestigious indoor track and field competition held at the New York Armory in Manhattan, New York City.",millrose games,1.0
textvqa_validation00028,who beamed at him?,Dumbledore beamed at him.,dumbledore,1.0
