qid,question,answer,solution,score
realworld_test1,"In which direction is the front wheel of the car on the right side facing?

A. Left
B. Straight
C. Right
Please answer directly with only the letter of the correct option and nothing else.",C.,C,1.0
realworld_test2,"How many bars are here?
A. There are two parallel bars in this photo.
B. There are three bars in the photo. two are the same height and one is higher.
C. There are two bars in this photo. one is high and one is low.
Please answer directly with only the letter of the correct option and nothing else.",A.,B,0.0
realworld_test3,"how many pedestrians are there?
Please answer directly with a single word or number.",Zero.,0,0.0
realworld_test4,"Is the road that the vehicle is on uphill, downhill or flat?
Please answer directly with a single word or number.",uphill.,Downhill,0.0
realworld_test5,"What is the speed limit on this road?

A. 25
B. 35
C. 45
Please answer directly with only the letter of the correct option and nothing else.",B.,B,1.0
realworld_test6,"Which of the 3 objects on the plate is the biggest?
A. The pile of scrambled eggs is the biggest object on the plate.
B. The strawberries are the biggest object on the plate.
C. The avocados are the biggest object on the plate.
Please answer directly with only the letter of the correct option and nothing else.",A.,A,1.0
realworld_test7,"Are we required to stop
Please answer directly with a single word or number.",Yes.,Yes,1.0
realworld_test8,"Is the bicyclist in this image facing

A. Toward us
B. Away from us
Please answer directly with only the letter of the correct option and nothing else.",A.,B,0.0
realworld_test9,"What direction is the dog facing?
A. The dog is facing forward.
B. The dog is facing the right.
C. The dog is facing the left.
Please answer directly with only the letter of the correct option and nothing else.",C.,C,1.0
realworld_test10,"What's the horizontal distance between the pickup truck and the nearest curb to it?

A. 5.5 meters
B. 9.5 meters
C. 13.5 meters
Please answer directly with only the letter of the correct option and nothing else.",B.,A,0.0
realworld_test11,"Where is the water compared to the tater tots?
A. The water is behind to the right of the tater tots.
B. The water is in front to the right of the tater tots.
C. The water is behind to the left of the tater tots.
Please answer directly with only the letter of the correct option and nothing else.",A.,A,1.0
realworld_test12,"Which direction is the arrow pointing?
A. The arrow is pointing up.
B. The arrow is pointing right.
C. The arrow is pointing left.
Please answer directly with only the letter of the correct option and nothing else.",B.,C,0.0
realworld_test13,"Which direction is this vehicle facing?
A. The front of the vehicle is on the left hand side of the photo.
B. The front of the vehicle is on the right hand side of the photo.
C. The front of the vehicle is in the center of the photo.
Please answer directly with only the letter of the correct option and nothing else.",A.,B,0.0
realworld_test14,"Which direction is the vehicle directly in front of us traveling?

A. Straight
B. Left
C. Right
Please answer directly with only the letter of the correct option and nothing else.",C.,B,0.0
realworld_test15,"Is the car closest to us driving in the same direction as us or in the opposition direction from us.
A. Same direction.
B. Opposite direction.
Please answer directly with only the letter of the correct option and nothing else.",A.,B,0.0
realworld_test16,"How many cars are in the opposite lane that are still driving?

A. 1 car
B. 2 cars
C. 3 cars
Please answer directly with only the letter of the correct option and nothing else.",A.,B,0.0
realworld_test17,"How many sedans can be found within 5 meters of the camera?
Please answer directly with a single word or number.",3.,0,0.0
realworld_test18,"Within 30 meters of us, how many sedans are there?
Please answer directly with a single word or number.",Three.,0,0.0
realworld_test19,"How many plastic bags are here?
A. There are three plastic bags here.
B. There are four plastic bags here.
C. There are two plastic bags here.
Please answer directly with only the letter of the correct option and nothing else.",A.,C,0.0
realworld_test20,"Is the construction zone closer or further than the upcoming stop sign?
A. Closer
B. Further
C. The same
Please answer directly with only the letter of the correct option and nothing else.",B.,B,1.0
realworld_test21,"Is the ground wet? Answer yes or no.
Please answer directly with a single word or number.",No.,No,1.0
realworld_test22,"How many sticks of wood are in the image?
A. There are 6 sticks of wood.
B. There are 3 sticks of wood.
C. There is 1 stick of wood.
Please answer directly with only the letter of the correct option and nothing else.",A.,A,1.0
realworld_test23,"Which direction is the car nearest to us travelling in?
A. Towards us.
B. Away from us.
Please answer directly with only the letter of the correct option and nothing else.",A.,A,1.0
realworld_test24,"Where is the road flooded?

A. The right lane
B. The middle lane
C. The left lane
Please answer directly with only the letter of the correct option and nothing else.",C.,A,0.0
realworld_test25,"What color is the nearest set of traffic lights in this scene?
Please answer directly with a single word or number.",Green.,Red,0.0
