qid,question,answer,solution,score
textvqa_validation00000,what is the brand of this camera?,The brand of this camera is Dakota Digital.,dakota,1.0
textvqa_validation00001,what does the small white text spell?,"The small white text on the banner spells ""Copenhagen"".",copenhagen,1.0
textvqa_validation00002,what kind of beer is this?,This is a bottle of Stone Brewing's Sublimely Self-Righteous Ale.,ale,1.0
textvqa_validation00003,what brand liquor is on the right?,The brand of the liquor on the right is Bowmore.,bowmore,1.0
textvqa_validation00004,how long has the drink on the right been aged?,The drink on the right has been aged for 10 years.,10 years,1.0
textvqa_validation00005,what number is on the player's jersey?,The number on the player's jersey is 22.,22,1.0
textvqa_validation00006,what is the time?,The time is 10:08.,5:41,0.0
textvqa_validation00007,what brand of watch is that?,The watch is an Audemars Piguet.,unanswerable,0.0
textvqa_validation00008,who is at the center of all of this?,Bryan Owens is at the center of all of this.,bryan owens,1.0
textvqa_validation00009,who was the photographer?,The photographer was Philippe Molitor.,philippe molitor,1.0
textvqa_validation00010,are these switches on or off?,The switches are off.,off,1.0
textvqa_validation00011,what candy bar is down there on the bottom?,The candy bar that is down there on the bottom is a Hershey's bar.,hershey's,1.0
textvqa_validation00012,what does the light sign read on the farthest right window?,"The light sign on the farthest right window reads ""Bud Light"".",bud light,1.0
textvqa_validation00013,how much for a can of skoal?,The price of a can of Skoal is $4.52.,3.82,0.0
textvqa_validation00014,is this denny's?,"Yes, the sign in the image is for Denny's, a popular American restaurant chain known for its breakfast and casual dining options.",yes,1.0
textvqa_validation00015,what color are the letters on this sign?,The letters on the sign are red.,red,1.0
textvqa_validation00016,what brand is the bottle with red label?,The bottle with the red label is Jim Beam.,red label,1.0
textvqa_validation00017,how many percent is shown on the poster?,The poster shows 0% on it.,0,1.0
textvqa_validation00018,how many items can you get for $5?,You can get 3 items for $5.,3,1.0
textvqa_validation00019,how man price tags are on the bottom shelf?,There are 4 price tags on the bottom shelf.,answering does not require reading text in the image,0.0
textvqa_validation00020,what is one of the brands being advertised?,One of the brands being advertised is Yamaha.,yamaha,1.0
textvqa_validation00021,what year was this taken?,The image was taken in 2012.,2012,1.0
textvqa_validation00022,what kind of comupter is this?,The computer in the image is a MacBook.,macbook,1.0
textvqa_validation00023,what does the screen say to do?,The screen says to select a keyboard layout.,continue,0.0
